,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
0,F29414,2465,C,1.0,2019-09-03 08:58:42.000,2019-09-03,2019-09-03 00:00:00,2019-09-18,2019-09-04,3980.0,0.0,0.0
1,F29415,3926,C,1.0,2019-09-03 09:55:14.000,2019-09-03,2019-09-03 00:00:00,2019-10-03,2019-09-03,1550.0000000000002,0.0,0.0
2,F29416,3926,C,1.0,2019-09-03 13:25:33.000,2019-09-03,2019-09-03 00:00:00,2019-10-03,2019-09-03,1550.0,0.0,0.0
3,F29417,3926,C,1.0,2019-09-03 13:33:23.000,2019-09-03,2019-09-03 00:00:00,2019-10-03,2019-09-17,1550.0,0.0,0.0
4,F29418,6813,C,2.0,2019-09-03 14:23:45.000,2019-09-03,2019-09-03 00:00:00,2019-09-03,2019-09-10,2435.44,0.0,0.0
6,F29420,6828,C,2.0,2019-09-04 10:53:53.000,2019-09-04,2019-09-04 00:00:00,2019-09-04,2019-09-04,402.59,0.0,0.0
8,F29422,5926,C,2.0,2019-09-04 11:14:44.000,2019-09-04,2019-09-02 00:00:00,2019-09-04,2019-09-04,1606.74,0.0,0.0
9,F29423,5926,C,2.0,2019-09-04 12:23:05.000,2019-09-04,2019-09-02 00:00:00,2019-09-04,2019-09-04,1144.4299999999998,0.0,0.0
12,F29426,6829,C,2.0,2019-09-04 13:19:19.000,2019-09-04,2019-09-04 00:00:00,2019-09-04,2019-09-11,157.75799999999998,0.0,0.0
14,F29428,3686,C,2.0,2019-09-04 16:42:39.000,2019-09-04,2019-09-04 00:00:00,2019-09-19,2019-09-11,1724.137,0.0,0.0
17,F29431,5953,C,2.0,2019-09-05 10:09:49.000,2019-09-05,2019-09-05 00:00:00,2019-09-05,2019-09-11,258.65999999999997,0.0,0.0
18,F29432,1965,C,2.0,2019-09-05 11:05:04.000,2019-09-05,2019-09-05 00:00:00,2019-09-20,2019-09-06,976.5,0.0,0.0
19,F29433,6016,C,2.0,2019-09-05 11:54:36.000,2019-09-05,2019-09-05 00:00:00,2019-09-05,2019-09-11,280.0,0.0,0.0
20,F29434,5928,C,2.0,2019-09-06 09:18:27.000,2019-09-06,2019-09-06 00:00:00,2019-09-21,2019-09-06,224.637,0.0,0.0
22,F29436,1965,C,2.0,2019-09-06 12:01:36.000,2019-09-06,2019-09-06 00:00:00,2019-09-21,2019-09-12,976.5,0.0,0.0
27,F29441,5926,C,2.0,2019-09-09 11:52:59.000,2019-09-09,2019-09-09 00:00:00,2019-09-09,2019-09-11,1602.59,0.0,0.0
32,F29446,3686,C,2.0,2019-09-09 18:03:01.000,2019-09-09,2019-09-09 00:00:00,2019-09-24,2019-09-13,1724.137,0.0,0.0
42,F29456,960,C,2.0,2019-09-10 13:08:53.000,2019-09-10,2019-09-10 00:00:00,2019-09-25,2019-09-10,1059.8700000000001,0.0,0.0
43,F29457,960,C,2.0,2019-09-10 13:14:49.000,2019-09-10,2019-09-10 00:00:00,2019-09-25,2019-09-10,1059.8700000000001,0.0,0.0
48,F29462,6830,C,2.0,2019-09-10 15:04:34.000,2019-09-10,2019-09-10 00:00:00,2019-09-10,2019-09-12,7140.540000000001,0.0,0.0
49,F29463,925,C,1.0,2019-09-10 18:12:13.000,2019-09-10,2019-09-10 00:00:00,2019-11-09,2019-09-12,1800.0000000000002,0.0,0.0
71,F29485,1965,C,2.0,2019-09-12 12:14:28.000,2019-09-12,2019-09-12 00:00:00,2019-09-27,2019-09-12,976.5000000000001,146.48,0.0
86,F29500,4563,C,2.0,2019-09-13 11:05:27.000,2019-09-13,2019-09-13 00:00:00,2019-09-13,2019-09-13,4464.8,0.0,0.0
88,F29502,5485,C,3.0,2019-09-13 12:10:36.000,2019-09-13,2019-09-13 00:00:00,2019-09-13,2019-09-17,252.15600000000003,0.0,0.0
119,F29533,43,C,1.0,2019-09-18 10:42:58.000,2019-09-18,2019-09-18 00:00:00,2019-10-18,2019-09-26,17230.0,0.0,0.0
140,F29554,5068,C,2.0,2019-09-19 12:28:34.000,2019-09-19,2019-09-13 00:00:00,2019-11-03,2019-10-04,35725.0,0.0,0.0
144,F29558,5739,C,1.0,2019-09-19 13:43:48.000,2019-09-19,2019-09-19 00:00:00,2019-11-18,2019-09-19,19000.0,0.0,0.0
145,F29559,5739,C,1.0,2019-09-19 13:45:50.000,2019-09-19,2019-09-19 00:00:00,2019-11-18,2019-10-02,4410.0,0.0,0.0
156,F29570,6842,C,2.0,2019-09-20 11:20:53.000,2019-09-20,2019-09-20 00:00:00,2019-09-20,2019-09-20,568.11,0.0,0.0
159,F29573,728,C,1.0,2019-09-20 11:55:55.000,2019-09-20,2019-09-20 00:00:00,2019-11-19,2019-09-20,33499.200000000004,5024.88,0.0
